epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4476.75,0.81485,0.6402,1.10389,0.77555,0.71715,0.77584,0.57055,0.93175,1.09605,1.28699,0.00310186,0.00310186,0.00310186
81,4532.65,0.79832,0.60821,1.09587,0.79822,0.73592,0.79049,0.58537,0.92274,1.28709,1.29527,0.00308094,0.00308094,0.00308094
82,4587.69,0.79259,0.59912,1.09557,0.79679,0.70772,0.78042,0.57645,0.95474,1.18474,1.3214,0.00305985,0.00305985,0.00305985
83,4643.18,0.79246,0.61873,1.09326,0.77118,0.69779,0.76519,0.56453,0.94816,1.66381,1.33012,0.00303859,0.00303859,0.00303859
84,4699.09,0.78562,0.60494,1.09514,0.78546,0.70892,0.78228,0.57754,0.93639,1.34718,1.32321,0.00301717,0.00301717,0.00301717
85,4754.63,0.78444,0.5942,1.09082,0.80689,0.71374,0.78771,0.57731,0.91133,1.4597,1.29465,0.0029956,0.0029956,0.0029956
86,4810.41,0.77586,0.59692,1.07466,0.74495,0.72337,0.76783,0.56656,0.94507,1.86467,1.32544,0.00297387,0.00297387,0.00297387
87,4865.73,0.76993,0.59095,1.08427,0.7887,0.73825,0.79485,0.58461,0.931,1.65207,1.30971,0.00295199,0.00295199,0.00295199
88,4921.34,0.78631,0.60662,1.08924,0.76458,0.74568,0.78771,0.58531,0.91764,1.43708,1.29322,0.00292997,0.00292997,0.00292997
89,4976.98,0.78669,0.58638,1.08761,0.78707,0.69848,0.76517,0.56486,0.9329,1.3755,1.31137,0.0029078,0.0029078,0.0029078
90,5032.78,0.75427,0.57448,1.06826,0.77814,0.7296,0.7859,0.57839,0.9384,1.22286,1.31782,0.00288549,0.00288549,0.00288549
91,5087.95,0.76651,0.57629,1.07872,0.80508,0.70678,0.77379,0.5757,0.93918,1.4524,1.32063,0.00286304,0.00286304,0.00286304
92,5143.56,0.74842,0.56835,1.06293,0.76792,0.70747,0.77465,0.57473,0.93191,1.31443,1.31376,0.00284046,0.00284046,0.00284046
93,5198.53,0.7595,0.58383,1.08025,0.78032,0.71923,0.78297,0.58106,0.93265,1.36441,1.30558,0.00281775,0.00281775,0.00281775
94,5254.17,0.75662,0.57189,1.07419,0.79005,0.72061,0.78474,0.58465,0.94731,1.44458,1.32974,0.00279492,0.00279492,0.00279492
95,5309.2,0.74529,0.56583,1.06788,0.80386,0.72545,0.79312,0.57976,0.95018,1.25974,1.33638,0.00277196,0.00277196,0.00277196
96,5365,0.7478,0.55384,1.05949,0.79745,0.69917,0.77448,0.56805,0.94968,1.27763,1.32763,0.00274889,0.00274889,0.00274889
97,5423.19,0.72731,0.54661,1.05372,0.82525,0.71231,0.79426,0.59249,0.92789,1.21678,1.31461,0.0027257,0.0027257,0.0027257
98,5478.97,0.74077,0.53613,1.0511,0.81025,0.70816,0.79445,0.59208,0.92155,1.12311,1.31314,0.00270239,0.00270239,0.00270239
99,5534.36,0.73349,0.54226,1.05216,0.79004,0.73098,0.7904,0.58815,0.90615,1.29558,1.30136,0.00267898,0.00267898,0.00267898
100,5590.49,0.72658,0.54093,1.05099,0.78242,0.73651,0.79111,0.58715,0.91064,1.22319,1.30918,0.00265547,0.00265547,0.00265547
101,5646.1,0.73506,0.52205,1.05255,0.78696,0.72407,0.79568,0.59519,0.92022,1.22977,1.30643,0.00263185,0.00263185,0.00263185
102,5701.49,0.70675,0.51353,1.02475,0.75877,0.74393,0.78283,0.58324,0.92761,1.24963,1.31658,0.00260814,0.00260814,0.00260814
103,5757.1,0.71682,0.53063,1.04073,0.78381,0.72545,0.78788,0.58866,0.93156,1.27961,1.31449,0.00258434,0.00258434,0.00258434
